DDCTransactionId68054AEB4F62FC3D1507A6B3F900F123_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-22.22.18, Duration=828.886292, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___AD36A6067FB8A01F31F3AF4C8946399C517CF391, StartTime=2016.04.01-22.22.18, HierarchicalDDC=, DataSize=4194565, Duration=6.391246, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___4860EF7BC752CBE02CCB2705BF8CB48A698E4BD9, StartTime=2016.04.01-22.22.18, HierarchicalDDC=, DataSize=1048837, Duration=2.551023, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___5A0BB6E1D372F839D324E10225DE8469984B21FA, StartTime=2016.04.01-22.22.18, HierarchicalDDC=, DataSize=262403, Duration=0.212666, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___4A2C3032BACEEE299B3642FEDA89B93B1EE78D43, StartTime=2016.04.01-22.22.18, HierarchicalDDC=, DataSize=65795, Duration=0.066977, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___F3E2FBA30778DC84BB0F5ED8A50653CF9CD5C95F, StartTime=2016.04.01-22.22.18, HierarchicalDDC=, DataSize=16643, Duration=0.072844, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___B8E76038B1FAF49B2983EFFD6E7B86CBF6237101, StartTime=2016.04.01-22.22.18, HierarchicalDDC=, DataSize=7468, Duration=0.031289, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId68054AEB4F62FC3D1507A6B3F900F123_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-22.22.19, Duration=662.941711, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___E459626E63ED45EF561A856BABEAE27A84746866, StartTime=2016.04.01-22.22.19, HierarchicalDDC=, DataSize=4194565, Duration=7.258534, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___D4735834DC35101E223B6ED198367AF339378B4F, StartTime=2016.04.01-22.22.19, HierarchicalDDC=, DataSize=1048837, Duration=0.990976, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___0D07BA7E0DD518C73916733CF297FC9510B3F16D, StartTime=2016.04.01-22.22.19, HierarchicalDDC=, DataSize=262403, Duration=0.251777, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___3AC301F275406FCA314BBE61C1954B9F2AE85579, StartTime=2016.04.01-22.22.19, HierarchicalDDC=, DataSize=65795, Duration=0.081155, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___87B94521736ABA8A26F8F28B88597DA69B20E433, StartTime=2016.04.01-22.22.19, HierarchicalDDC=, DataSize=16643, Duration=0.033733, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___382725BB370E3BD860556FDB5E8BA88FF17B105F, StartTime=2016.04.01-22.22.19, HierarchicalDDC=, DataSize=7468, Duration=0.030313, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId68054AEB4F62FC3D1507A6B3F900F123_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-22.22.19, Duration=693.611694, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___AD36A6067FB8A01F31F3AF4C8946399C517CF391, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=4194565, Duration=2.245955, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___4860EF7BC752CBE02CCB2705BF8CB48A698E4BD9, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=1048837, Duration=0.366177, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___5A0BB6E1D372F839D324E10225DE8469984B21FA, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=262403, Duration=0.087023, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___4A2C3032BACEEE299B3642FEDA89B93B1EE78D43, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=65795, Duration=0.033733, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___F3E2FBA30778DC84BB0F5ED8A50653CF9CD5C95F, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=16643, Duration=0.017598, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_7F4970AF407237B338721894AC7C55A6___B8E76038B1FAF49B2983EFFD6E7B86CBF6237101, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=7468, Duration=0.020534, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId68054AEB4F62FC3D1507A6B3F900F123_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE028A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-22.22.20, Duration=69.966362, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__4EE83C895828B45CA36D4968CBC323543A9A22B2, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=262407, Duration=0.191648, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__349CA13B15B01E106858DDDD0E3E3396DA218D6D, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=65799, Duration=0.087999, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__AC9285A4DAFDC0716DEF13130A9B06B3FE11A1AD, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=16647, Duration=0.044491, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__6569745CA631A9E5DFDCBA9FC53A8671E25127CD, StartTime=2016.04.01-22.22.20, HierarchicalDDC=, DataSize=6899, Duration=0.026889, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId68054AEB4F62FC3D1507A6B3F900F123_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-22.22.20, Duration=643.439941, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___E459626E63ED45EF561A856BABEAE27A84746866, StartTime=2016.04.01-22.22.21, HierarchicalDDC=, DataSize=4194565, Duration=1.870979, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___D4735834DC35101E223B6ED198367AF339378B4F, StartTime=2016.04.01-22.22.21, HierarchicalDDC=, DataSize=1048837, Duration=0.424355, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___0D07BA7E0DD518C73916733CF297FC9510B3F16D, StartTime=2016.04.01-22.22.21, HierarchicalDDC=, DataSize=262403, Duration=0.220977, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___3AC301F275406FCA314BBE61C1954B9F2AE85579, StartTime=2016.04.01-22.22.21, HierarchicalDDC=, DataSize=65795, Duration=0.076268, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___87B94521736ABA8A26F8F28B88597DA69B20E433, StartTime=2016.04.01-22.22.21, HierarchicalDDC=, DataSize=16643, Duration=0.034712, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_953E836541FD413A56AE28B92BC05FD4___382725BB370E3BD860556FDB5E8BA88FF17B105F, StartTime=2016.04.01-22.22.21, HierarchicalDDC=, DataSize=7468, Duration=0.024933, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
